姓名,身份证号,学号,专业班级,C1,C2,C3,C4,C5
杨建军,211011XXXXXXXX5542,2024216000,经济23-1班,77,44,72,39,B+
刘淑珍,433127XXXXXXXX6442,2024216001,电信科23-1班,67,84,71,89,C+
王玉梅,152500XXXXXXXX251X,2024216002,经济23-1班,50,38,56,76,D-
刘淑华,532323XXXXXXXX1872,2024216003,计算机23-1班,84,80,23,39,C-
许莉,330901XXXXXXXX5340,2024216004,城市地下空间23-2班,54,96,35,58,E
廖佳,130433XXXXXXXX8306,2024216005,法学23-1班,56,28,45,77,C
杨伟,542428XXXXXXXX294X,2024216006,法学23-1班,89,69,86,50,B
郝秀芳,441826XXXXXXXX6738,2024216007,广告23-2班,78,49,43,100,B-
梁琳,420113XXXXXXXX7720,2024216008,新能源23-1班,85,70,95,45,C
韩晨,654025XXXXXXXX6367,2024216009,电信科23-3班,77,80,26,95,D-
王龙,469025XXXXXXXX4989,2024216010,化工23-1班,91,38,93,80,B+
朱阳,220203XXXXXXXX3720,2024216011,自动化23-2班,65,59,41,46,A-
黄秀荣,370685XXXXXXXX8340,2024216012,土木工程23-1班,73,96,62,69,B
陈秀梅,360203XXXXXXXX3165,2024216013,英语23-2班,47,58,85,49,D-
李辉,330108XXXXXXXX1195,2024216014,经济23-1班,59,63,69,36,B-
谢雷,341701XXXXXXXX3098,2024216015,电信科23-3班,94,43,16,58,B-
王想,533103XXXXXXXX0966,2024216016,新能源23-1班,95,53,50,50,E
陈莹,152525XXXXXXXX8526,2024216017,经济23-2班,85,52,79,43,C-
郑艳,610628XXXXXXXX8332,2024216018,计算机23-1班,82,74,97,99,D-
张波,120110XXXXXXXX4202,2024216019,新媒体23-2班,45,65,77,81,C
刘欣,451223XXXXXXXX7075,2024216020,土木工程23-1班,91,25,69,90,A
王玉华,411501XXXXXXXX8392,2024216021,物流管理23-2班,62,68,42,38,C
董春梅,130534XXXXXXXX5911,2024216022,新媒体23-3班,91,54,56,45,A+
阎秀英,310115XXXXXXXX9913,2024216023,城市地下空间23-1班,82,88,15,88,D+
任欢,341524XXXXXXXX3199,2024216024,机械工程23-1班,71,57,35,60,B+
王淑英,512022XXXXXXXX4986,2024216025,物流管理23-1班,66,65,18,91,D
吴杨,330421XXXXXXXX1715,2024216026,食品23-3班,53,83,42,65,D-
李明,150302XXXXXXXX5527,2024216027,英语23-1班,81,48,53,84,E
郝军,500226XXXXXXXX5731,2024216028,机械工程23-2班,68,28,49,96,B-
米秀荣,610331XXXXXXXX8705,2024216029,新媒体23-2班,98,59,50,57,D
徐萍,450924XXXXXXXX9334,2024216030,化工23-2班,59,76,98,39,D
薛淑华,140824XXXXXXXX2364,2024216031,新能源23-1班,54,79,91,64,A-
贺琴,620823XXXXXXXX961X,2024216032,土木工程23-2班,80,78,62,71,A-
周畅,530325XXXXXXXX4395,2024216033,新媒体23-2班,85,40,67,93,A-
赵瑜,513335XXXXXXXX709X,2024216034,土木工程23-3班,79,71,45,98,C-
张婷婷,350430XXXXXXXX1353,2024216035,化工23-3班,69,57,84,66,C+
孙佳,431230XXXXXXXX8209,2024216036,广告23-2班,57,68,94,50,E
陈颖,230704XXXXXXXX5913,2024216037,土木工程23-3班,81,33,26,85,E
李艳,421200XXXXXXXX8416,2024216038,机械工程23-2班,58,42,58,47,A-
李雷,513327XXXXXXXX1243,2024216039,机械工程23-1班,78,81,80,62,C+
徐坤,410381XXXXXXXX8944,2024216040,新媒体23-1班,72,62,80,90,D+
徐平,140621XXXXXXXX8698,2024216041,环境23-2班,82,39,38,39,B+
尹燕,451300XXXXXXXX7562,2024216042,电信科23-3班,70,60,36,66,B
陈秀华,522624XXXXXXXX8618,2024216043,法学23-1班,68,93,50,42,B+
杨彬,623026XXXXXXXX1674,2024216044,新能源23-1班,55,86,16,44,E
姜峰,450321XXXXXXXX0488,2024216045,化工23-3班,100,64,77,99,B
何岩,140829XXXXXXXX5253,2024216046,英语23-2班,72,91,54,72,E
董明,451202XXXXXXXX9567,2024216047,机械工程23-3班,61,76,62,91,B
李霞,130826XXXXXXXX0932,2024216048,新媒体23-3班,92,90,85,78,A
马龙,431225XXXXXXXX0121,2024216049,环境23-2班,60,79,96,96,B-
吴敏,450721XXXXXXXX2497,2024216050,法学23-2班,89,65,50,43,C-
